Iteration,Discriminator Loss,Generator Loss
0,1.567423,0.690705
0,1.567423,0.690705
10,0.618054,0.820325
10,0.618054,0.820325
20,0.332135,1.398019
20,0.332135,1.398019
30,0.206738,2.481372
30,0.206738,2.481372
40,0.303755,2.599890
40,0.303755,2.599890
50,0.476444,2.366252
50,0.476444,2.366252
60,0.722575,1.572148
60,0.722575,1.572148
70,0.989587,1.271319
70,0.989587,1.271319
80,1.153671,1.128557
80,1.153671,1.128557
90,1.325245,0.901544
90,1.325245,0.901544
100,1.363127,0.783082
100,1.363127,0.783082
110,1.398352,0.788598
110,1.398352,0.788598
120,1.377742,0.708480
120,1.377742,0.708480
130,1.374328,0.660996
130,1.374328,0.660996
140,1.382303,0.682146
140,1.382303,0.682146
150,1.356649,0.658398
150,1.356649,0.658398
160,1.380731,0.699289
160,1.380731,0.699289
170,1.391687,0.680739
170,1.391687,0.680739
180,1.361982,0.690844
180,1.361982,0.690844
190,1.386321,0.709337
190,1.386321,0.709337
200,1.375832,0.696644
200,1.375832,0.696644
210,1.379304,0.695700
210,1.379304,0.695700
220,1.380075,0.678875
220,1.380075,0.678875
230,1.387420,0.677258
230,1.387420,0.677258
240,1.378387,0.685839
240,1.378387,0.685839
250,1.380235,0.695308
250,1.380235,0.695308
260,1.379485,0.705588
260,1.379485,0.705588
270,1.378720,0.683464
270,1.378720,0.683464
280,1.379719,0.742207
280,1.379719,0.742207
290,1.380296,0.691229
290,1.380296,0.691229
300,1.384114,0.709157
300,1.384114,0.709157
310,1.377600,0.709075
310,1.377600,0.709075
320,1.382467,0.693939
320,1.382467,0.693939
330,1.378825,0.707016
330,1.378825,0.707016
340,1.384220,0.694366
340,1.384220,0.694366
350,1.378651,0.697032
350,1.378651,0.697032
360,1.377955,0.659720
360,1.377955,0.659720
370,1.381106,0.702482
370,1.381106,0.702482
380,1.380977,0.693682
380,1.380977,0.693682
390,1.384409,0.690793
390,1.384409,0.690793
400,1.378249,0.701538
400,1.378249,0.701538
410,1.379209,0.693087
410,1.379209,0.693087
420,1.383335,0.689840
420,1.383335,0.689840
430,1.382423,0.662449
430,1.382423,0.662449
440,1.386326,0.698913
440,1.386326,0.698913
450,1.370205,0.689264
450,1.370205,0.689264
460,1.382523,0.672632
460,1.382523,0.672632
470,1.386973,0.687683
470,1.386973,0.687683
480,1.381138,0.690787
480,1.381138,0.690787
490,1.377949,0.690887
490,1.377949,0.690887
500,1.392367,0.649530
500,1.392367,0.649530
510,1.378134,0.691816
510,1.378134,0.691816
520,1.376348,0.688998
520,1.376348,0.688998
530,1.385931,0.689075
530,1.385931,0.689075
540,1.380389,0.664876
540,1.380389,0.664876
550,1.381178,0.686579
550,1.381178,0.686579
560,1.373516,0.713168
560,1.373516,0.713168
570,1.368925,0.687087
570,1.368925,0.687087
580,1.377230,0.695289
580,1.377230,0.695289
590,1.379493,0.698003
590,1.379493,0.698003
600,1.385141,0.680265
600,1.385141,0.680265
610,1.382773,0.676563
610,1.382773,0.676563
620,1.372745,0.692497
620,1.372745,0.692497
630,1.364188,0.721776
630,1.364188,0.721776
640,1.378524,0.696374
640,1.378524,0.696374
650,1.382680,0.660702
650,1.382680,0.660702
660,1.393677,0.664192
660,1.393677,0.664192
670,1.380703,0.701576
670,1.380703,0.701576
680,1.381228,0.689231
680,1.381228,0.689231
690,1.378618,0.708666
690,1.378618,0.708666
700,1.360883,0.674298
700,1.360883,0.674298
710,1.391814,0.693616
710,1.391814,0.693616
720,1.357198,0.668602
720,1.357198,0.668602
730,1.363321,0.665646
730,1.363321,0.665646
740,1.352777,0.718816
740,1.352777,0.718816
750,1.378108,0.672523
750,1.378108,0.672523
760,1.384111,0.682158
760,1.384111,0.682158
770,1.383986,0.675026
770,1.383986,0.675026
780,1.381120,0.684062
780,1.381120,0.684062
790,1.385015,0.676558
790,1.385015,0.676558
800,1.372759,0.715235
800,1.372759,0.715235
810,1.346449,0.689098
810,1.346449,0.689098
820,1.378182,0.690418
820,1.378182,0.690418
830,1.381328,0.689044
830,1.381328,0.689044
840,1.380415,0.687822
840,1.380415,0.687822
850,1.380026,0.699561
850,1.380026,0.699561
860,1.367135,0.671242
860,1.367135,0.671242
870,1.378364,0.694024
870,1.378364,0.694024
880,1.389850,0.674471
880,1.389850,0.674471
890,1.383919,0.670194
890,1.383919,0.670194
900,1.380852,0.671130
900,1.380852,0.671130
910,1.378966,0.708246
910,1.378966,0.708246
920,1.378579,0.685440
920,1.378579,0.685440
930,1.368658,0.666421
930,1.368658,0.666421
940,1.383891,0.689028
940,1.383891,0.689028
950,1.385674,0.675989
950,1.385674,0.675989
960,1.345647,0.697946
960,1.345647,0.697946
970,1.378971,0.674305
970,1.378971,0.674305
980,1.377069,0.649506
980,1.377069,0.649506
990,1.308564,0.674595
990,1.308564,0.674595
1000,1.365876,0.636736
1000,1.365876,0.636736
1010,1.381876,0.705983
1010,1.381876,0.705983
1020,1.377580,0.677937
1020,1.377580,0.677937
1030,1.374578,0.686229
1030,1.374578,0.686229
1040,1.375266,0.681555
1040,1.375266,0.681555
1050,1.387119,0.698959
1050,1.387119,0.698959
